[INFO ] [2022-10-01 09:08:14,770] Pre-Condition-Step 01: enter to 'Email' address to get access to demo site
[INFO ] [2022-10-01 09:08:15,106] Pre-Condition-Step 02: click to 'Submit' button
[INFO ] [2022-10-01 09:08:17,026] Pre-Condition-Step 03: get 'UserID' 
[INFO ] [2022-10-01 09:08:17,301] Pre-Condition-Step 04: get 'PassWord' 
[INFO ] [2022-10-01 09:08:17,501] Pre-Condition-Step 05: input and search link 
[INFO ] [2022-10-01 09:08:18,966] Pre-Condition-Step 06: enter to 'userID' textbox with value:mngr444107
[INFO ] [2022-10-01 09:08:19,596] Pre-Condition-Step 06: enter to 'password' textbox with value:tAhyjur
[INFO ] [2022-10-01 09:08:19,842] Pre-Condition-Step 06: click to 'Login' button
[INFO ] [2022-10-01 09:08:21,286] Pre-Condition-Step 07: Verify 'Login' Page Success
[INFO ] [2022-10-01 09:08:21,380]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-10-01 09:08:21,406] New Customer-Step 01: Click new customer link at menusubnav and navigate to Add New Customer Page
[INFO ] [2022-10-01 09:08:21,789] New Customer-Step 02: Verify navigate to Add New Customer Page Success
[INFO ] [2022-10-01 09:09:11,903] Pre-Condition-Step 01: enter to 'Email' address to get access to demo site
[INFO ] [2022-10-01 09:09:12,252] Pre-Condition-Step 02: click to 'Submit' button
[INFO ] [2022-10-01 09:09:14,220] Pre-Condition-Step 03: get 'UserID' 
[INFO ] [2022-10-01 09:09:14,311] Pre-Condition-Step 04: get 'PassWord' 
[INFO ] [2022-10-01 09:09:14,515] Pre-Condition-Step 05: input and search link 
[INFO ] [2022-10-01 09:09:16,102] Pre-Condition-Step 06: enter to 'userID' textbox with value:mngr444108
[INFO ] [2022-10-01 09:09:16,549] Pre-Condition-Step 06: enter to 'password' textbox with value:yqazAdU
[INFO ] [2022-10-01 09:09:16,841] Pre-Condition-Step 06: click to 'Login' button
[INFO ] [2022-10-01 09:09:18,413] Pre-Condition-Step 07: Verify 'Login' Page Success
[INFO ] [2022-10-01 09:09:18,681]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-10-01 09:09:18,703] New Customer-Step 01: Click new customer link at menusubnav and navigate to Add New Customer Page
[INFO ] [2022-10-01 09:09:19,022] New Customer-Step 02: Verify navigate to Add New Customer Page Success
[INFO ] [2022-10-01 09:09:21,644]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:09:21,644] New Customer-Step 03: enter to Customer Name 
[INFO ] [2022-10-01 09:09:21,946] New Customer-Step 04: enter to Date of Birth 
[INFO ] [2022-10-01 09:09:22,149] New Customer-Step 05: enter to Address area
[INFO ] [2022-10-01 09:09:22,376] New Customer-Step 06: enter to City textbox
[INFO ] [2022-10-01 09:09:22,529] New Customer-Step 07: enter to State textbox
[INFO ] [2022-10-01 09:09:22,710] New Customer-Step 08: enter to PIN textbox
[INFO ] [2022-10-01 09:09:22,899] New Customer-Step 09: enter to Telephone Number
[INFO ] [2022-10-01 09:09:23,077] New Customer-Step 10: enter to Email textbox
[INFO ] [2022-10-01 09:09:23,290] New Customer-Step 11: enter to Password textbox
[INFO ] [2022-10-01 09:09:23,539] New Customer-Step 12: click to Submit button
[INFO ] [2022-10-01 09:09:25,669] New Customer-Step 13: Verify message displays with content 'Customer Registed Successfully!!!'
[INFO ] [2022-10-01 09:09:25,728]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:09:25,728] New Customer-Step 14: Verify CustomerName
[INFO ] [2022-10-01 09:09:25,880] New Customer-Step 14: Verify CustomerName
[INFO ] [2022-10-01 09:09:25,986]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:09:25,986] New Customer-Step 16: Verify Address
[INFO ] [2022-10-01 09:09:26,088]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:09:26,088] New Customer-Step 17: Verify City
[INFO ] [2022-10-01 09:09:26,150]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:09:26,150] New Customer-Step 18: Verify State
[INFO ] [2022-10-01 09:09:26,216]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:09:26,217] New Customer-Step 19: Verify Pin
[INFO ] [2022-10-01 09:09:26,276]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:09:26,277] New Customer-Step 21: Verify Mobile
[INFO ] [2022-10-01 09:09:26,338]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:09:26,338] New Customer-Step 22: Verify Email
[INFO ] [2022-10-01 09:09:26,400]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:12:31,477] Pre-Condition-Step 01: enter to 'Email' address to get access to demo site
[INFO ] [2022-10-01 09:12:31,823] Pre-Condition-Step 02: click to 'Submit' button
[INFO ] [2022-10-01 09:12:33,662] Pre-Condition-Step 03: get 'UserID' 
[INFO ] [2022-10-01 09:12:33,788] Pre-Condition-Step 04: get 'PassWord' 
[INFO ] [2022-10-01 09:12:34,024] Pre-Condition-Step 05: input and search link 
[INFO ] [2022-10-01 09:12:35,575] Pre-Condition-Step 06: enter to 'userID' textbox with value:mngr444114
[INFO ] [2022-10-01 09:12:35,996] Pre-Condition-Step 06: enter to 'password' textbox with value:bUnYdur
[INFO ] [2022-10-01 09:12:36,266] Pre-Condition-Step 06: click to 'Login' button
[INFO ] [2022-10-01 09:12:37,748] Pre-Condition-Step 07: Verify 'Login' Page Success
[INFO ] [2022-10-01 09:12:37,840]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-10-01 09:12:37,867] New Customer-Step 01: Click new customer link at menusubnav and navigate to Add New Customer Page
[INFO ] [2022-10-01 09:12:38,276] New Customer-Step 02: Verify navigate to Add New Customer Page Success
[INFO ] [2022-10-01 09:12:41,859]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:12:41,859] New Customer-Step 03: enter to Customer Name 
[INFO ] [2022-10-01 09:12:42,168] New Customer-Step 04: enter to Date of Birth 
[INFO ] [2022-10-01 09:12:42,406] New Customer-Step 05: enter to Address area
[INFO ] [2022-10-01 09:12:42,634] New Customer-Step 06: enter to City textbox
[INFO ] [2022-10-01 09:12:42,830] New Customer-Step 07: enter to State textbox
[INFO ] [2022-10-01 09:12:43,022] New Customer-Step 08: enter to PIN textbox
[INFO ] [2022-10-01 09:12:43,224] New Customer-Step 09: enter to Telephone Number
[INFO ] [2022-10-01 09:12:43,434] New Customer-Step 10: enter to Email textbox
[INFO ] [2022-10-01 09:12:43,673] New Customer-Step 11: enter to Password textbox
[INFO ] [2022-10-01 09:12:43,887] New Customer-Step 12: click to Submit button
[INFO ] [2022-10-01 09:12:45,618] New Customer-Step 13: Verify message displays with content 'Customer Registed Successfully!!!'
[INFO ] [2022-10-01 09:12:45,685]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:12:45,685] New Customer-Step 14: Verify CustomerName
[INFO ] [2022-10-01 09:12:45,853] New Customer-Step 14: Verify CustomerName
[INFO ] [2022-10-01 09:12:45,946]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:12:45,946] New Customer-Step 16: Verify Address
[INFO ] [2022-10-01 09:12:46,041]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:12:46,041] New Customer-Step 17: Verify City
[INFO ] [2022-10-01 09:12:46,121]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:12:46,121] New Customer-Step 18: Verify State
[INFO ] [2022-10-01 09:12:46,197]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:12:46,197] New Customer-Step 19: Verify Pin
[INFO ] [2022-10-01 09:12:46,263]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:12:46,263] New Customer-Step 21: Verify Mobile
[INFO ] [2022-10-01 09:12:46,342]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 09:12:46,342] New Customer-Step 22: Verify Email
[INFO ] [2022-10-01 09:12:46,441]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 10:05:11,827] Pre-Condition-Step 01: enter to 'Email' address to get access to demo site
[INFO ] [2022-10-01 10:05:12,227] Pre-Condition-Step 02: click to 'Submit' button
[INFO ] [2022-10-01 10:05:14,400] Pre-Condition-Step 03: get 'UserID' 
[INFO ] [2022-10-01 10:05:14,838] Pre-Condition-Step 04: get 'PassWord' 
[INFO ] [2022-10-01 10:05:14,946] Pre-Condition-Step 05: input and search link 
[INFO ] [2022-10-01 10:05:16,598] Pre-Condition-Step 06: enter to 'userID' textbox with value:mngr444122
[INFO ] [2022-10-01 10:05:17,070] Pre-Condition-Step 06: enter to 'password' textbox with value:urehyrU
[INFO ] [2022-10-01 10:05:17,298] Pre-Condition-Step 06: click to 'Login' button
[INFO ] [2022-10-01 10:05:18,798] Pre-Condition-Step 07: Verify 'Login' Page Success
[INFO ] [2022-10-01 10:05:18,893]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-10-01 10:05:18,924] New Customer-Step 01: Click new customer link at menusubnav and navigate to Add New Customer Page
[INFO ] [2022-10-01 10:05:19,383] New Customer-Step 02: Verify navigate to Add New Customer Page Success
[INFO ] [2022-10-01 10:05:22,285]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 10:05:22,285] New Customer-Step 03: enter to Customer Name 
[INFO ] [2022-10-01 10:05:22,558] New Customer-Step 04: enter to Date of Birth 
[INFO ] [2022-10-01 10:05:22,776] New Customer-Step 05: enter to Address area
[INFO ] [2022-10-01 10:05:23,002] New Customer-Step 06: enter to City textbox
[INFO ] [2022-10-01 10:05:23,170] New Customer-Step 07: enter to State textbox
[INFO ] [2022-10-01 10:05:23,445] New Customer-Step 08: enter to PIN textbox
[INFO ] [2022-10-01 10:05:23,677] New Customer-Step 09: enter to Telephone Number
[INFO ] [2022-10-01 10:05:23,876] New Customer-Step 10: enter to Email textbox
[INFO ] [2022-10-01 10:05:24,121] New Customer-Step 11: enter to Password textbox
[INFO ] [2022-10-01 10:05:24,335] New Customer-Step 12: click to Submit button
[INFO ] [2022-10-01 10:05:26,864] New Customer-Step 13: Verify message displays with content 'Customer Registed Successfully!!!'
[INFO ] [2022-10-01 10:05:26,924]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 10:05:26,924] New Customer-Step 14: Verify CustomerName
[INFO ] [2022-10-01 10:05:27,044] New Customer-Step 14: Verify CustomerName
[INFO ] [2022-10-01 10:05:27,137]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 10:05:27,138] New Customer-Step 16: Verify Address
[INFO ] [2022-10-01 10:05:27,249]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 10:05:27,250] New Customer-Step 17: Verify City
[INFO ] [2022-10-01 10:05:27,331]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 10:05:27,332] New Customer-Step 18: Verify State
[INFO ] [2022-10-01 10:05:27,392]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 10:05:27,392] New Customer-Step 19: Verify Pin
[INFO ] [2022-10-01 10:05:27,472]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 10:05:27,473] New Customer-Step 21: Verify Mobile
[INFO ] [2022-10-01 10:05:27,564]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 10:05:27,564] New Customer-Step 22: Verify Email
[INFO ] [2022-10-01 10:05:27,652]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 10:05:27,656] Edit Customer-Step 01: Click edit Customer link at menusubnav and navigate to Edit Customer Page
[INFO ] [2022-10-01 10:05:29,755] Edit Customer-Step 01: input To CustomerID textbox with value 57010
[INFO ] [2022-10-01 10:09:00,443] Pre-Condition-Step 01: enter to 'Email' address to get access to demo site
[INFO ] [2022-10-01 10:09:00,777] Pre-Condition-Step 02: click to 'Submit' button
[INFO ] [2022-10-01 10:09:03,192] Pre-Condition-Step 03: get 'UserID' 
[INFO ] [2022-10-01 10:09:03,823] Pre-Condition-Step 04: get 'PassWord' 
[INFO ] [2022-10-01 10:09:03,929] Pre-Condition-Step 05: input and search link 
[INFO ] [2022-10-01 10:09:05,980] Pre-Condition-Step 06: enter to 'userID' textbox with value:mngr444123
[INFO ] [2022-10-01 10:09:06,697] Pre-Condition-Step 06: enter to 'password' textbox with value:EvegEqu
[INFO ] [2022-10-01 10:09:06,940] Pre-Condition-Step 06: click to 'Login' button
[INFO ] [2022-10-01 10:09:09,155] Pre-Condition-Step 07: Verify 'Login' Page Success
[INFO ] [2022-10-01 10:09:09,342]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-10-01 10:09:09,363] New Customer-Step 01: Click new customer link at menusubnav and navigate to Add New Customer Page
[INFO ] [2022-10-01 10:09:09,568] New Customer-Step 02: Verify navigate to Add New Customer Page Success
[INFO ] [2022-10-01 10:09:13,717]  -------------------------- PASSED -------------------------- 
[INFO ] [2022-10-01 10:09:13,717] New Customer-Step 03: enter to Customer Name 
